label_set,Description,Morphology,ID_number,Morpho_number,RGB
ACB,Acropora Branching,Branching_non_acropora,1,1,"255,100,0"
ACC,Acropora Corymbose,Acropora Corymbose (ACO),2,2,"255,150,0"
ACD,Acropora Digitate,Acropora,3,3,"255,80,0"
ACE,Acropora Encrusting,Acropora,4,4,"255,50,0"
ACS,Acropora Submassive,Acropora,5,5,"200,80,0"
ACT,Acropora Tabulate,Acropora,6,6,"220,120,0"
CB,Non-Acropora Branching,Branching_non_acropora,7,7,"255,180,80"
CE,Non-Acropora Encrusting,Encrusting,8,8,"255,200,100"
CF,Non-Acropora Foliaceous,Foliose,9,9,"200,255,150"
CM,Non-Acropora Massive,Massive,10,10,"100,200,255"
CMR,Non-Acropora Mushroom,Fungiidae,11,11,"180,100,255"
CS,Non-Acropora Submassive,Massive,12,12,"150,180,255"
CTU,Tubipora,Columnar,13,13,"100,150,255"
CHL,Heliopora,Massive,14,14,"50,100,200"
CME,Millepora,Encrusting,15,15,"150,50,200"
CRE,Coral Recruits,Massive,16,16,"255,220,100"
SC,Soft Coral,Soft_Coral,17,17,"255,150,200"
SP,Sponge,Sponge,18,18,"200,200,50"
CA,Coralline Algae,Algae,19,19,"200,50,200"
TA,Turf Algae,Algae,20,20,"150,200,50"
FMA,Fleshy Macroalgae,Algae,21,21,"50,200,50"
HMA,Hard Macroalgae,Algae,22,22,"0,150,50"
CYA,Cyanobacteria,Algae,23,23,"0,50,200"
DC,Dead Coral,Unidentifiable,24,24,"100,100,100"
RCK,Rock,Abiotic_substrate,25,25,"150,150,150"
R,Rubble,Abiotic_substrate,26,26,"180,170,150"
S,Sand,Abiotic_substrate,27,27,"240,230,210"
SI,Silt,Abiotic_substrate,28,28,"200,190,180"
GOR,Gorgonian,Soft_Coral,29,29,"255,100,150"
PHA,Phanerogam,Abiotic_substrate,30,30,"0,180,100"
OT,Other,Unidentifiable,31,31,"180,180,180"
ZO,Zoanthid,Mobile_Biota,32,32,"100,200,200"
