label_set,Morphology,ID_number,Morpho_number,RGB
MDB,Markers,1,14,"100,100,100"
MST,Massive,2,3,"255,140,0"
SC_OTH,Soft_Coral,3,9,"0,160,170"
Un_ID,Unidentifiable,4,15,"50,50,50"
MAS,Massive,5,3,"255,165,0"
ACO,Acropora,6,1,"0,0,255"
ALG,Algae,7,11,"0,200,0"
SAN,Abiotic_substrate,8,12,"255,255,0"
WA,Unidentifiable,9,15,"70,70,70"
ENC,Encrusting,10,5,"255,0,150"
G_POR,Massive,11,3,"200,80,0"
AS,Massive,12,3,"180,60,0"
ACT,Acropora,13,1,"0,80,255"
SCM,Soft_Coral,14,9,"0,130,140"
AL,Algae,15,11,"0,160,0"
FOL_OTH_P,Foliose,16,6,"150,0,200"
SPC,Branching,17,2,"255,50,50"
CA,Coralline_Algae,18,11,"255,200,100"
TA,Turf_Algae,19,11,"150,200,50"
